Indicator,Country,Date,value
Cumulative number of suspected Ebola cases,United Kingdom,26/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,26/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,26/02/2015,3175
Cumulative number of confirmed Ebola cases,Guinea,26/02/2015,2781
Cumulative number of probable Ebola cases,Guinea,26/02/2015,387
Cumulative number of suspected Ebola cases,Guinea,26/02/2015,7
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,26/02/2015,2101
Cumulative number of confirmed Ebola deaths,Guinea,26/02/2015,1714
Cumulative number of probable Ebola deaths,Guinea,26/02/2015,387
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,26/02/2015,9265
Cumulative number of confirmed Ebola cases,Liberia,26/02/2015,3153
Cumulative number of probable Ebola cases,Liberia,26/02/2015,1888
Cumulative number of suspected Ebola cases,Liberia,26/02/2015,4224
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,26/02/2015,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,26/02/2015,11341
Cumulative number of confirmed Ebola cases,Sierra Leone,26/02/2015,8308
Cumulative number of probable Ebola cases,Sierra Leone,26/02/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,26/02/2015,2746
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,26/02/2015,3479
Cumulative number of confirmed Ebola deaths,Sierra Leone,26/02/2015,3113
Cumulative number of probable Ebola deaths,Sierra Leone,26/02/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,26/02/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,26/02/2015,1
Cumulative number of confirmed Ebola cases,Mali,26/02/2015,7
Cumulative number of probable Ebola cases,Mali,26/02/2015,1
Cumulative number of suspected Ebola cases,Mali,26/02/2015,0
